CustomerID,Lookalikes
C0001,"[('C0152', 0.988126139597442), ('C0086', 0.970992474598276), ('C0189', 0.9689511157752415)]"
C0002,"[('C0199', 0.9982365831706524), ('C0010', 0.9979042991460265), ('C0142', 0.9758917611530349)]"
C0003,"[('C0178', 0.99970170137606), ('C0036', 0.9851499737540516), ('C0035', 0.981786838598084)]"
C0004,"[('C0108', 0.9976516273329031), ('C0156', 0.9914614508380932), ('C0195', 0.9874315305441715)]"
C0005,"[('C0073', 0.9997526326521591), ('C0159', 0.9994772185816296), ('C0112', 0.9980697280862801)]"
C0006,"[('C0079', 0.9999764381086235), ('C0196', 0.988320937900856), ('C0158', 0.9772606623974199)]"
C0007,"[('C0080', 0.9945791391915436), ('C0078', 0.9936956226857628), ('C0042', 0.9891171104866684)]"
C0008,"[('C0109', 0.9796605705856086), ('C0147', 0.9612357930973253), ('C0017', 0.9599827763093409)]"
C0009,"[('C0077', 0.9997779078565956), ('C0083', 0.9965301768693441), ('C0060', 0.9829038436967956)]"
C0010,"[('C0002', 0.9979042991460265), ('C0199', 0.9923035016537669), ('C0009', 0.9780795917473551)]"
C0011,"[('C0183', 0.9900964284984601), ('C0114', 0.989582770090103), ('C0016', 0.9870487903134898)]"
C0012,"[('C0165', 0.9798458844307018), ('C0099', 0.9734932689604012), ('C0101', 0.9717830617174635)]"
C0013,"[('C0105', 0.9935444353829069), ('C0126', 0.9926454743215155), ('C0099', 0.9901122800613956)]"
C0014,"[('C0058', 0.9970658347083992), ('C0151', 0.9962899940750519), ('C0128', 0.9929995213783487)]"
C0015,"[('C0095', 0.9942758264082213), ('C0144', 0.9922239112197833), ('C0186', 0.9878529868317425)]"
C0016,"[('C0183', 0.9997947280108257), ('C0064', 0.9951684560552098), ('C0114', 0.9878374414121203)]"
C0017,"[('C0162', 0.9998915898577124), ('C0093', 0.988709282984551), ('C0113', 0.9849199876636806)]"
C0018,"[('C0187', 0.999838229858009), ('C0148', 0.9991224241048398), ('C0149', 0.9988244731743104)]"
C0019,"[('C0134', 0.8868714211799332), ('C0038', 0.8834511067250316), ('C0069', 0.8358228862453388)]"
C0020,"[('C0110', 0.9997515136443326), ('C0042', 0.9983127614068062), ('C0176', 0.9976924283988722)]"
